sensor_id,reading_time,vehicle_count,avg_speed_kmh,occupancy_pct
1,2026-04-15 06:00:00,12,78,15
1,2026-04-15 07:00:00,18,72,20
1,2026-04-15 08:00:00,25,65,30
1,2026-04-15 09:00:00,40,48,45
1,2026-04-15 10:00:00,55,38,55
1,2026-04-15 11:00:00,65,32,60
1,2026-04-15 12:00:00,75,28,70
1,2026-04-15 13:00:00,85,22,78
1,2026-04-15 14:00:00,92,18,85
1,2026-04-15 15:00:00,88,16,90
1,2026-04-15 16:00:00,70,30,65
1,2026-04-15 17:00:00,60,42,55
1,2026-04-15 18:00:00,50,50,45
1,2026-04-15 19:00:00,38,58,40
1,2026-04-15 20:00:00,30,65,35
1,2026-04-15 21:00:00,22,70,30
1,2026-04-15 22:00:00,18,75,25
1,2026-04-15 23:00:00,15,80,20
1,2026-04-16 00:00:00,12,85,15
1,2026-04-16 01:00:00,10,90,10
